# r  g_O-La
2.009999999999999787e+00 0.000000000000000000e+00
2.029999999999999805e+00 0.000000000000000000e+00
2.049999999999999822e+00 0.000000000000000000e+00
2.069999999999999840e+00 0.000000000000000000e+00
2.089999999999999858e+00 0.000000000000000000e+00
2.109999999999999876e+00 0.000000000000000000e+00
2.129999999999999893e+00 0.000000000000000000e+00
2.149999999999999911e+00 0.000000000000000000e+00
2.169999999999999929e+00 0.000000000000000000e+00
2.189999999999999947e+00 0.000000000000000000e+00
2.209999999999999964e+00 0.000000000000000000e+00
2.229999999999999982e+00 0.000000000000000000e+00
2.250000000000000000e+00 0.000000000000000000e+00
2.270000000000000018e+00 0.000000000000000000e+00
2.290000000000000036e+00 0.000000000000000000e+00
2.310000000000000053e+00 0.000000000000000000e+00
2.329999999999999627e+00 8.332668628069243855e-02
2.349999999999999645e+00 3.686148164805858052e-01
2.369999999999999662e+00 1.006721545947659280e+00
2.389999999999999680e+00 2.851036546076760381e+00
2.409999999999999698e+00 5.101564034034042017e+00
2.429999999999999716e+00 9.882648099951039100e+00
2.449999999999999734e+00 1.590180760559742623e+01
2.469999999999999751e+00 1.642389164044739758e+01
2.489999999999999769e+00 1.783924435073728887e+01
2.509999999999999787e+00 2.021283720787700844e+01
2.529999999999999805e+00 1.982385815035561194e+01
2.549999999999999822e+00 1.495734436501784081e+01
2.569999999999999840e+00 1.301319034671617914e+01
2.589999999999999858e+00 1.004808272760144838e+01
2.609999999999999876e+00 7.570426222292907070e+00
2.629999999999999893e+00 6.016900881831403147e+00
2.649999999999999911e+00 3.671805484470672010e+00
2.669999999999999929e+00 3.141081936931250596e+00
2.689999999999999947e+00 2.125548290982143040e+00
2.709999999999999964e+00 1.170338973884432310e+00
2.729999999999999982e+00 4.855806480191703356e-01
2.750000000000000000e+00 6.579971356723584019e-01
2.770000000000000018e+00 1.768717405924355723e-01
2.790000000000000036e+00 5.811501490709219953e-02
2.810000000000000053e+00 0.000000000000000000e+00
2.829999999999999627e+00 0.000000000000000000e+00
2.849999999999999645e+00 0.000000000000000000e+00
2.869999999999999662e+00 0.000000000000000000e+00
2.889999999999999680e+00 0.000000000000000000e+00
2.909999999999999698e+00 0.000000000000000000e+00
2.929999999999999716e+00 0.000000000000000000e+00
2.949999999999999734e+00 0.000000000000000000e+00
2.969999999999999751e+00 0.000000000000000000e+00
2.989999999999999769e+00 0.000000000000000000e+00
3.009999999999999787e+00 0.000000000000000000e+00
3.029999999999999805e+00 0.000000000000000000e+00
3.049999999999999822e+00 0.000000000000000000e+00
3.069999999999999840e+00 0.000000000000000000e+00
3.089999999999999858e+00 0.000000000000000000e+00
3.109999999999999876e+00 0.000000000000000000e+00
3.129999999999999893e+00 0.000000000000000000e+00
3.149999999999999911e+00 0.000000000000000000e+00
3.169999999999999929e+00 0.000000000000000000e+00
3.189999999999999947e+00 0.000000000000000000e+00
3.209999999999999964e+00 0.000000000000000000e+00
3.229999999999999982e+00 0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00
3.270000000000000018e+00 0.000000000000000000e+00
3.290000000000000036e+00 0.000000000000000000e+00
3.310000000000000053e+00 0.000000000000000000e+00
3.330000000000000071e+00 0.000000000000000000e+00
3.349999999999999645e+00 0.000000000000000000e+00
3.369999999999999662e+00 0.000000000000000000e+00
3.389999999999999680e+00 0.000000000000000000e+00
3.409999999999999698e+00 9.725873700826058454e-02
3.429999999999999716e+00 7.690226742275803329e-02
3.449999999999999734e+00 4.180727860533967055e-01
3.469999999999999751e+00 1.878488204287020180e-01
3.489999999999999769e+00 3.528338005086316675e-01
3.509999999999999787e+00 2.203101277231397648e-01
3.529999999999999805e+00 2.178207743854993217e-01
3.549999999999999822e+00 5.922767835810884840e-01
3.569999999999999840e+00 8.873624774527292258e-01
3.589999999999999858e+00 9.301531761538729404e-01
3.609999999999999876e+00 6.248209895053035146e-01
3.629999999999999893e+00 8.239398590160820213e-01
3.649999999999999911e+00 4.584010173383246678e-01
3.669999999999999929e+00 8.732503421955239986e-01
3.689999999999999947e+00 6.644691464617307197e-01
3.709999999999999964e+00 7.723561537167868973e-01
3.729999999999999982e+00 8.616398761843655496e-01
3.750000000000000000e+00 9.811488390083735744e-01
3.770000000000000018e+00 1.273136274113142896e+00
3.790000000000000036e+00 1.039281345337938367e+00
3.810000000000000053e+00 1.106307927068075347e+00
3.830000000000000071e+00 1.449432325992120241e+00
3.849999999999999645e+00 1.266555662456033016e+00
3.869999999999999662e+00 1.691467860588233618e+00
3.889999999999999680e+00 1.748857108400845739e+00
3.909999999999999698e+00 2.145271013540743343e+00
3.929999999999999716e+00 1.962399318995596165e+00
3.949999999999999734e+00 2.218017334148805197e+00
3.969999999999999751e+00 1.880000599681563189e+00
3.990000000000000213e+00 1.463386850130963923e+00
