id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
28,28,2.6814,-6.7024,-19.0953,-43.7142,-38.1348,1.2000,1.0000,4.5000,2.3759,-7.3406,6.5429,-2.5669,0.4701,-0.0330
6,28,-0.0002,-52.2668,-92.4267,-69.7563,-19.0059,2.1000,1.0000,4.5000,43314.1476,-41401.2144,10516.3099,1161.7408,-819.9743,87.5884
28,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
